Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size,Latitude,Longitude
511,3551 FLEMING STREET,5/19/2020,2262500,2,1850,2017,3,2722.5,49.2530345,-123.071801
512,496 E 47TH AVENUE,9/8/2019,1581000,10,2378,1959,60,5014.26,49.2272026,-123.094261
513,4277 KEVIN PLACE,7/30/2019,2770000,10,3359,1971,48,8133.0,49.2485186,-123.2017622
514,237 E 20TH AVENUE,9/16/2019,2825000,7,3960,1905,114,6049.95,49.2532061,-123.0997693
515,3532 PRINCE EDWARD STREET,11/27/2019,1600000,5,1694,1910,109,1952.0,49.2533008,-123.0964201
516,3350 W 38TH AVENUE,4/19/2019,2800000,105,3502,1922,97,5475.0,49.2374967,-123.179633
517,780 W 60TH AVENUE,5/1/2019,3000000,218,3296,2009,10,5494.0,49.2158142,-123.1227434
518,8507 FREMLIN STREET,1/1/2020,1500000,37,2165,1915,105,4048.11,49.2092019,-123.127847
519,4015 GLEN DRIVE,12/9/2019,2150000,48,2960,1927,93,6235.0,49.2489059,-123.0822976
520,6358 WINDSOR STREET,2/18/2020,1266000,7,1787,1931,89,4026.0,49.2267247,-123.084923
521,2242 GRANT STREET,5/27/2019,1660000,8,2308,1964,55,3669.6,49.2709985,-123.0590456
522,1629 E 13TH AVENUE,5/6/2019,1627500,105,2417,1912,107,4026.0,49.258914,-123.0711424
523,3483 W 18TH AVENUE,3/10/2020,2650000,7,2308,1989,31,3840.0,49.2566698,-123.181362
524,3525 E GEORGIA STREET,2/10/2020,1051525,91,2541,1912,108,3564.0,49.2784967,-123.0273905
525,156 E 19TH AVENUE,5/13/2019,2521000,35,2849,2006,13,4432.0,49.2534862,-123.1019731
526,2522 TURNER STREET,8/30/2019,2239047,189,2858,2019,1,3531.0,49.2789285,-123.0538208
527,3408 W 37TH AVENUE,3/12/2020,2520000,2,2751,1987,33,5475.0,49.238304,-123.180464
528,6869 NANAIMO STREET,6/4/2019,2040000,47,2874,2015,4,3978.0,49.2215518,-123.0597022
529,4495 W 7TH AVENUE,7/15/2019,2560000,62,2250,1991,28,3719.0,49.2666447,-123.2088079
530,3924 W 24TH AVENUE,8/30/2019,2223000,1,985,1940,79,5128.0,49.25087629999999,-123.1916511
531,508 E 61ST AVENUE,2/18/2020,2100000,62,2863,2020,0,3465.82,49.214777,-123.0940243
532,4918 WALDEN STREET,9/20/2019,1430000,5,1720,1929,90,4026.0,49.2402492,-123.0998581
533,1343 W 64TH AVENUE,5/21/2019,1780000,16,2228,1989,30,3668.0,49.2133085,-123.135932
534,1222 E 12TH AVENUE,9/3/2019,1690000,88,3210,1911,108,6350.0,49.2594374,-123.0791061
535,5874 BATTISON STREET,5/15/2019,2300000,50,3878,2018,1,4636.0,49.2304348,-123.0303234
536,2778 E 41ST AVENUE,7/18/2019,815000,11,1074,1916,103,3349.0,49.2326047,-123.0494388
537,3530 W 13TH AVENUE,3/2/2020,2478000,36,2475,1995,25,4026.0,49.2604858,-123.1826399
538,2848 PANDORA STREET,9/3/2019,1250000,3,2793,1912,107,4026.0,49.28272370000001,-123.0456009
539,3954 W 30TH AVENUE,2/18/2020,2960000,2,2473,1955,65,6508.5,49.24503070000001,-123.1924197
540,3691 E GEORGIA STREET,11/6/2019,1930000,164,3522,2017,3,4070.0,49.27842709999999,-123.0238956
541,3612 ETON STREET,7/2/2019,1295000,7,2163,1975,44,4023.0,49.2874176,-123.025147
542,4508 PRINCE ALBERT STREET,9/16/2019,2135000,2,2095,2019,0,2842.0,49.24463249999999,-123.0875158
543,980 W 20TH AVENUE,6/4/2019,2400000,2,2849,1924,95,4026.0,49.2533229,-123.1266059
544,365 E 24TH AVENUE,8/15/2019,1425000,8,2040,1925,94,4045.84,49.249517,-123.0974297
545,2597 E KENT NORTH AVENUE,3/25/2020,1520000,15,2511,1990,30,4240.0,49.2061438,-123.0544528
546,7610 CARTIER STREET,4/23/2019,2830000,261,3426,2018,2,4970.0,49.2163333,-123.1372232
547,5292 ST. CATHERINES STREET,9/25/2019,2223810,69,2301,2019,0,3300.0,49.23703,-123.0866
548,2536 E 29TH AVENUE,8/23/2019,1375000,59,2516,1958,62,5019.4,49.2443938,-123.0536916
549,6726 RUPERT STREET,5/27/2019,2160000,287,4387,2001,19,7313.0,49.222928,-123.0439411
550,6489 ONTARIO STREET,2/1/2019,1820000,212,2174,1996,23,3524.4,49.22602089999999,-123.106316
551,3484 DIEPPE DRIVE,4/4/2019,1190000,118,2250,1948,71,4620.0,49.2530322,-123.0243487
552,3126 W 32ND AVENUE,1/3/2020,2920000,35,2873,1938,82,6500.0,49.24288319999999,-123.1746584
553,2245 WILLIAM STREET,9/9/2019,1215000,30,1964,1929,90,4026.0,49.2740646,-123.0589889
554,578 E 10TH AVENUE,2/18/2020,2175000,26,3264,1980,40,6000.0,49.2613297,-123.0913251
555,1153 E 11TH AVENUE,5/15/2020,1602000,4,1620,1956,64,4026.0,49.260766,-123.0802392
556,2632 NAPIER STREET,5/25/2020,1510000,6,2505,1968,52,3630.0,49.2747511,-123.0512677
557,614 E 14TH AVENUE,3/19/2020,1349000,4,2218,1910,110,2583.0,49.2577546,-123.0908009
558,1727 E 29TH AVENUE,8/30/2019,1350000,4,2536,1986,33,3976.5,49.2442618,-123.0693096
559,5014 WINDSOR STREET,5/5/2020,2475000,13,3361,2018,2,4851.0,49.2392328,-123.0844065
560,2242 E 52ND AVENUE,5/27/2020,1438000,5,1690,1953,67,4322.01,49.2219458,-123.0610803
561,2102 E 54TH AVENUE,5/13/2019,1295000,51,2004,1989,30,3034.0,49.2200595,-123.0644111
562,3536 W 13TH AVENUE,2/14/2020,2408000,10,2429,1927,93,4026.0,49.2604754,-123.1827702
563,2559 KITCHENER STREET,5/27/2019,2575000,12,3385,2017,2,5080.0,49.2724672,-123.0532104
564,4866 MANOR STREET,3/16/2020,997000,47,1747,1911,109,3267.0,49.24074599999999,-123.0400663
565,3007 W 36TH AVENUE,2/19/2020,2900000,5,2745,1932,88,6095.7,49.2397117,-123.1732951
566,6295 DOMAN STREET,11/8/2019,1551000,113,2400,1955,65,6338.0,49.2263998,-123.0368699
567,4263 QUEBEC STREET,6/13/2019,2476190,41,2564,2019,0,3812.5,49.2476522,-123.1035628
568,4518 JAMES STREET,4/17/2020,2520000,2,2290,1988,32,3422.13,49.2442936,-123.1035325
569,2176 E 8TH AVENUE,5/4/2020,1600000,23,2964,1984,36,4191.0,49.2629123,-123.0602871
570,703 HEATLEY AVENUE,5/11/2020,750000,10,1153,1901,119,1525.0,49.278251,-123.08991
571,772 E 59TH AVENUE,4/15/2019,1565000,157,2204,2008,11,4026.0,49.2163546,-123.0885915
572,8268 ELLIOTT STREET,3/18/2020,1935000,1,3060,1967,53,10348.0,49.2087303,-123.0555974
573,3505 WORTHINGTON DRIVE,11/18/2019,1413000,62,1668,1948,72,4510.0,49.2527348,-123.0268849
574,525 E 55TH AVENUE,6/19/2019,1150000,6,1539,1946,73,4035.0,49.2202225,-123.0937398
575,3176 CHARLES STREET,5/1/2019,1635000,41,3036,1987,32,5080.0,49.27304789999999,-123.0373222
576,3332 DEERING ISLAND PLACE,6/1/2019,2800000,138,3422,1992,27,8783.0,49.2166623,-123.1811274
577,2855 NANAIMO STREET,1/25/2020,1075000,6,1800,1956,64,3847.8,49.2591486,-123.0570432
578,2281 E 34TH AVENUE,2/25/2020,1360000,7,2200,1912,108,3795.0,49.2391499,-123.0592508
579,7650 FRENCH STREET,4/3/2019,2230000,119,3669,1990,29,5850.0,49.2164065,-123.1386435
580,4703 COLLINGWOOD STREET,9/3/2019,2353000,85,2475,1938,81,4191.0,49.2441341,-123.1823215
581,2642 OXFORD STREET,8/19/2019,1333780,6,1882,1923,96,4026.0,49.2854454,-123.0508483
582,3027 E 20TH AVENUE,9/17/2019,1330000,6,2444,1968,51,3638.02,49.2526034,-123.0407981
583,2558 TURNER STREET,7/16/2018,1270000,435,2220,1922,97,3547.5,49.2788928,-123.0526673
584,624 E 11TH AVENUE,10/15/2019,1663000,9,2932,1914,105,4026.0,49.2604237,-123.090359
585,747 E 60TH AVENUE,7/7/2019,1040000,42,2246,1938,81,4026.0,49.2158107,-123.0893294
586,615 E 63RD AVENUE,7/12/2019,1448000,41,2770,1976,43,6226.0,49.21337219999999,-123.0927362
587,1610 SEMLIN DRIVE,10/23/2019,1490000,3,1967,1910,109,2013.0,49.2702462,-123.0635756
588,3580 POINT GREY ROAD,11/12/2019,2500000,3,2060,1937,83,2864.4,49.2719079,-123.1831926
589,3066 E 26TH AVENUE,8/6/2019,1976190,90,3199,2019,0,3563.35,49.246946,-123.04003
590,2590 PARKER STREET,9/16/2019,1248500,29,1821,1944,75,3564.0,49.2755877,-123.0523668
591,4226 RUPERT STREET,12/2/2019,1475000,7,2780,1977,43,4480.0,49.2467152,-123.0334385
592,1655 E 11TH AVENUE,7/9/2019,1290000,3,2067,1941,78,4026.0,49.26069500000001,-123.0705882
593,2734 W 5TH AVENUE,1/9/2020,1750000,28,2650,1911,109,3740.0,49.2672231,-123.167339
594,3176 TRIMBLE STREET,6/11/2019,1600000,65,1592,1949,70,4026.0,49.2585466,-123.206075
595,3989 W 29TH AVENUE,11/20/2019,2850000,3,2438,1942,77,6162.0,49.24642859999999,-123.193202
596,73 E 57TH AVENUE,5/25/2020,1350000,2,1588,1949,71,3409.89,49.2187242,-123.1045251
597,3515 W 22ND AVENUE,1/29/2020,2910000,31,2907,2000,20,4026.0,49.2530891,-123.1823532
598,2579 ETON STREET,3/19/2020,1300000,40,2322,1928,92,4026.0,49.2880175,-123.0525952
599,3406 W 29TH AVENUE,10/21/2019,2075000,21,1850,1924,95,4298.25,49.245915,-123.1805046
600,2106 E 5TH AVENUE,8/6/2019,1475000,9,1585,1945,74,4026.0,49.2657242,-123.061774
601,2517 E 5TH AVENUE,10/8/2019,1335000,9,2301,1956,63,4022.0,49.2660163,-123.054218
602,3663 W 12TH AVENUE,6/20/2019,1880000,55,2547,1928,91,4028.64,49.2618717,-123.1851961
603,3842 W 26TH AVENUE,6/27/2019,2600000,93,2648,1925,94,6440.0,49.248795,-123.1894248
604,5212 HOY STREET,6/22/2019,1030000,146,1800,1957,62,3785.0,49.2371507,-123.025748
605,7799 BIRCH STREET,6/10/2019,2988000,80,3399,2016,3,4043.0,49.21511599999999,-123.1365687
606,1959 W 43RD AVENUE,10/23/2019,2800000,155,2850,1926,94,5904.0,49.232855,-123.1510253
607,2092 NANAIMO STREET,9/24/2019,999000,6,1400,1940,79,3168.0,49.2659037,-123.0562343
608,3217 W 33RD AVENUE,5/28/2019,2568000,18,3001,2011,8,4290.0,49.24257009999999,-123.1762453
609,2714 W 32ND AVENUE,6/20/2019,2480000,47,2362,1932,87,4298.25,49.2430218,-123.1663282
610,6779 LANCASTER STREET,2/18/2020,1588000,15,2630,1969,51,4720.0,49.2224975,-123.0431122
611,360 E 46TH AVENUE,10/23/2019,1675000,16,2474,1979,40,4026.0,49.2281741,-123.0983067
612,618 E 52ND AVENUE,10/2/2019,2200000,53,3300,2018,1,3965.0,49.22253329999999,-123.0923178
613,2731 E 8TH AVENUE,7/17/2019,1425000,2,2302,1981,38,4026.0,49.2632175,-123.0489724
614,379 E 32ND AVENUE,6/5/2019,1680000,7,1816,1948,71,3795.0,49.2423613,-123.0973455
615,3901 TUPPER STREET,8/6/2019,2230000,31,2842,1970,49,3664.65,49.2504925,-123.1165687
616,3586 TRINITY STREET,12/5/2019,1310000,66,1210,1936,84,6100.0,49.2895299,-123.0263115
617,4895 MOSS STREET,12/18/2019,925000,74,1930,1905,115,3022.8,49.2412842,-123.0442187
618,4795 JOYCE STREET,2/7/2020,1375000,1,2700,1964,56,3696.0,49.2420681,-123.0286389
619,2552 E 54TH AVENUE,8/12/2019,1560000,88,2246,2011,8,3119.0,49.22000629999999,-123.0556903
620,2656 E 7TH AVENUE,2/10/2020,1494000,8,2266,1958,62,4026.0,49.2636517,-123.0507457
621,506 PENTICTON STREET,10/16/2019,1666000,7,3563,1992,27,5445.0,49.2799697,-123.0517073
622,4680 WALDEN STREET,8/28/2019,1500000,4,1565,1910,109,3696.0,49.2427023,-123.09977
623,3261 KITCHENER STREET,6/16/2019,1370000,67,2475,1974,45,4191.0,49.2725211,-123.0349527
624,103 W 21ST AVENUE,7/22/2019,2700000,4,3030,1939,80,5313.0,49.2521448,-123.1075529
625,722 E 15TH AVENUE,9/3/2019,1880000,12,2950,1910,109,3230.0,49.2568999,-123.0884622
626,2735 W 32ND AVENUE,7/15/2019,2520888,19,2576,1996,23,4290.0,49.243481,-123.1667247
627,6944 KNIGHT STREET,3/9/2020,925000,2,900,1957,63,3779.16,49.2212077,-123.0771225
628,235 E 62ND AVENUE,8/15/2019,1050000,14,1920,1968,51,3267.0,49.2145569,-123.1011695
629,3235 QUEENS AVENUE,1/9/2020,1610000,37,2950,1984,36,4570.0,49.2415725,-123.0359502
630,3269 E 25TH AVENUE,10/28/2019,1220000,7,2004,1933,86,3960.0,49.2480869,-123.0349711
631,2262 E 48TH AVENUE,12/6/2019,1550000,69,2415,1995,25,4032.6,49.2260246,-123.0606098
632,2623 TURNER STREET,10/7/2019,1380000,2,2993,1943,76,5445.0,49.2793058,-123.0511524
633,2802 GRANT STREET,4/1/2020,1845000,7,3144,2004,16,4191.0,49.2711408,-123.0467356
634,3964 W 21ST AVENUE,4/16/2019,2100000,73,1475,1931,88,4026.0,49.2535806,-123.1925747
635,3421 E 4TH AVENUE,1/6/2020,2290000,7,4475,2016,4,5079.9,49.2668461,-123.0304829
636,5349 JOYCE STREET,3/21/2019,1300000,146,1648,1953,66,3069.0,49.2359902,-123.0344778
637,3100 BLANCA STREET,4/29/2019,2400000,196,3000,1970,49,6718.25,49.2591841,-123.215021
638,208 W 23RD AVENUE,3/11/2020,2508000,12,2448,1938,82,5346.0,49.2498286,-123.110281
639,2506 TRIUMPH STREET,11/18/2019,1555000,7,2021,1929,90,4026.0,49.28370020000001,-123.0540398
640,2120 E PENDER STREET,4/20/2020,1928000,8,2502,1906,114,3267.0,49.28003770000001,-123.0612647
641,4293 PERRY STREET,2/3/2020,1289000,21,1572,1927,93,4014.67,49.2466731,-123.0716564
642,2693 VENABLES STREET,10/24/2019,1130000,4,1275,1930,89,3630.0,49.2768394,-123.0497298
643,2736 W 41ST AVENUE,9/25/2019,1803800,6,1961,1922,97,4353.03,49.2345172,-123.1662706
644,2795 NANAIMO STREET,4/14/2020,1410000,4,2441,1931,89,4618.35,49.2596067,-123.057042
645,4167 W 11TH AVENUE,10/22/2019,2300000,107,974,1988,32,4026.0,49.2629929,-123.1991193
646,6468 LABURNUM STREET,6/19/2019,2160000,77,2495,1987,32,4141.5,49.2277498,-123.1505404
647,4273 ELGIN STREET,2/11/2020,1400000,4,1585,1948,72,3481.5,49.2468667,-123.0830292
648,2987 W 33RD AVENUE,7/2/2019,1870000,42,1814,1940,79,4298.0,49.24255729999999,-123.1723644
649,2086 PARKER STREET,6/15/2019,2100000,9,2513,1926,93,4636.0,49.2754814,-123.06215
650,3460 W 12TH AVENUE,3/2/2020,2117000,7,1608,1928,92,4026.0,49.2613711,-123.1813478
651,6158 BRUCE STREET,10/6/2019,1225000,8,1855,2000,19,2992.22,49.2282586,-123.0695166
652,4212 WINDSOR STREET,1/18/2019,1165000,129,2120,1989,30,3481.5,49.2475131,-123.0836451
653,2555 OXFORD STREET,6/7/2019,2215000,22,2754,2013,6,4554.0,49.2859077,-123.0536311
654,765 E 39TH AVENUE,2/4/2019,1160000,187,1297,1950,69,4026.0,49.235015,-123.0889338
655,2775 E 48TH AVENUE,12/30/2019,1480000,7,2200,1962,58,4290.0,49.2261455,-123.0488211
656,233 W 15TH AVENUE,5/15/2019,2325000,33,5600,1910,109,6250.0,49.25795859999999,-123.1105346
657,6751 KNIGHT STREET,10/17/2019,910000,21,1611,1948,71,3799.62,49.2229233,-123.077783
658,7687 OAK STREET,5/28/2019,1840000,31,2508,1976,43,4252.71,49.2155765,-123.1303599
659,142 E 58TH AVENUE,1/21/2020,2200000,7,3522,2017,3,3973.0,49.2174457,-123.1033066
660,942 E 21ST AVENUE,9/25/2019,1510000,32,1886,1926,93,4026.0,49.2516286,-123.0848149
661,3480 E 4TH AVENUE,8/26/2019,1454800,172,3016,1993,27,4082.0,49.26645569999999,-123.0291522
662,807 E 59TH AVENUE,11/3/2019,1497000,110,2492,1965,55,4923.6,49.2168088,-123.0876755
663,568 W 18TH AVENUE,9/17/2019,2393000,6,2345,1933,86,4026.0,49.2549618,-123.1168238
664,3233 E 2ND AVENUE,7/12/2019,1838000,59,3178,2008,11,5000.0,49.268677,-123.0355484
665,6388 MANITOBA STREET,2/10/2020,2720000,23,3828,1986,34,6315.33,49.2270289,-123.1081575
666,2073 E 27TH AVENUE,7/9/2019,2047619,80,3458,2019,0,3910.5,49.2469844,-123.0633895
667,257 E 38TH AVENUE,8/12/2019,2371429,73,3377,2019,0,4000.0,49.2364995,-123.1002418
668,2835 STEPHENS STREET,2/12/2020,1965000,11,2432,1912,108,2871.0,49.2607696,-123.1666567
669,731 E 22ND AVENUE,12/11/2019,2210000,2,2524,2016,3,3362.0,49.2512189,-123.0891525
670,3115 E BROADWAY,3/26/2019,1500000,70,2479,1966,53,4950.0,49.2621817,-123.0385734
671,2349 E GEORGIA STREET,11/4/2019,1507000,8,2303,1998,21,3473.25,49.2785056,-123.0572621
672,3686 E 25TH AVENUE,3/13/2020,1288888,10,1980,1954,66,5175.0,49.2477391,-123.0241489
673,2881 W 21ST AVENUE,10/21/2019,2820000,12,2563,2006,13,4270.0,49.25392429999999,-123.1696318
674,6515 RUPERT STREET,3/8/2020,1700000,6,2080,1957,63,7020.0,49.22413659999999,-123.0445527
675,375 E 17TH AVENUE,10/31/2019,2099000,8,3160,1977,42,6018.0,49.2559044,-123.0972087
676,5260 ABERDEEN STREET,8/22/2019,1520000,29,2098,1945,74,6000.0,49.237086,-123.027195
677,554 E 62ND AVENUE,11/25/2019,1525000,7,2782,1975,44,4620.0,49.21396679999999,-123.0937367
678,2087 E 5TH AVENUE,11/2/2019,1490000,12,1411,1926,93,4026.0,49.26615260000001,-123.0623227
679,5576 INVERNESS STREET,3/18/2019,1650000,98,2417,1994,25,4017.0,49.2339655,-123.0794724
680,2761 W 23RD AVENUE,7/22/2019,2500000,85,2416,1996,23,4026.0,49.2521166,-123.1667594
681,1885 E 40TH AVENUE,5/14/2020,1428000,5,2510,1967,53,4260.0,49.2338265,-123.0674871
682,5272 WINDSOR STREET,8/1/2019,1488000,26,2094,2001,18,3300.0,49.2372029,-123.0844635
683,1750-1752 E 5TH AVENUE,11/4/2019,2240000,4,2986,1910,109,2398.0,49.26558199999999,-123.068487
684,2725 MCGILL STREET,8/12/2019,1055000,30,1890,1948,71,4026.0,49.2889878,-123.0486398
685,3090 KINGS AVENUE,7/25/2019,700000,138,2838,1910,110,4425.0,49.2422116,-123.0404369
686,2854 W 24TH AVENUE,10/28/2019,1900000,1,915,1940,79,4031.0,49.2507915,-123.1691357
687,3995 NOOTKA STREET,10/24/2019,1525000,25,2366,1948,71,6300.0,49.2489121,-123.0420174
688,2759 E 57TH AVENUE,5/21/2020,1493000,0,2136,1964,56,4986.0,49.2183111,-123.049913
689,6575 BROOKS STREET,8/6/2019,2700000,15,3844,2013,6,5412.0,49.22374929999999,-123.0355142
690,3436 W 19TH AVENUE,3/16/2020,2300000,8,2683,1973,47,4026.0,49.2553788,-123.1807193
691,3620 CAROLINA STREET,7/9/2019,1478000,5,1528,1970,49,2244.8,49.2525491,-123.0917503
692,3190 E 7TH AVENUE,7/12/2019,1590000,46,2417,2006,13,4026.0,49.2636258,-123.0369207
693,6108 KNIGHT STREET,3/28/2019,1250000,161,2664,1967,52,6332.7,49.2289016,-123.0768797
694,3661 W 7TH AVENUE,9/8/2019,1940000,14,2284,1929,90,3628.35,49.26628160000001,-123.1850508
695,1815 E 37TH AVENUE,9/6/2019,1168000,9,1571,1955,64,3679.5,49.2369172,-123.0683056
696,2843 ALMA STREET,7/19/2019,2000000,118,2430,1924,95,3639.0,49.2612554,-123.1863124
697,7320 INVERNESS STREET,1/17/2020,1250000,6,1858,1952,68,3830.4,49.2179558,-123.0799173
698,1602 E 36TH AVENUE,8/7/2019,2000000,12,2400,1945,74,7284.22,49.2374439,-123.0728506
699,763 UNION STREET,8/19/2019,1625000,7,1822,1905,114,3050.0,49.27771,-123.08827
700,2537 E 8TH AVENUE,6/19/2019,2080000,28,3356,2017,2,4026.0,49.2632103,-123.0538242
701,2904 WINDSOR STREET,9/4/2019,1070000,8,2534,1910,109,2178.0,49.2586441,-123.0831543
702,7171 ROSS STREET,9/30/2019,1328888,19,2339,1979,40,4051.08,49.2194148,-123.0829526
703,732 E 51ST AVENUE,9/20/2019,2045000,39,3519,2015,4,4026.0,49.223343,-123.0897611
704,2921 E 54TH AVENUE,5/30/2019,975000,36,690,1954,65,4467.0,49.2204405,-123.0452937
705,7625 BORDEN STREET,5/28/2019,1650000,7,2889,1956,63,5273.0,49.21525219999999,-123.0742667
706,4233 W 15TH AVENUE,4/1/2019,2090000,78,2024,1978,41,3785.39,49.2594149,-123.2012056
707,3649 W 5TH AVENUE,12/4/2019,2480000,0,3113,1912,108,3631.43,49.2680148,-123.1847165
708,4038 W 15TH AVENUE,3/2/2020,2280000,7,2166,1930,90,4010.0,49.2588778,-123.1952478
709,3541 ADANAC STREET,3/18/2020,1455800,7,2081,2005,15,3574.0,49.2776499,-123.0272375
710,5036 GLADSTONE STREET,9/30/2019,1494800,6,2318,1990,29,3960.0,49.23864020000001,-123.0617777
711,4626 WINDSOR STREET,3/17/2020,1333000,6,2035,1950,70,3531.0,49.2430938,-123.0837654
712,5921 ONTARIO STREET,1/20/2020,2138000,0,2367,1992,28,3960.0,49.2310933,-123.1061061
713,241 E 45TH AVENUE,5/24/2019,1795000,17,2892,1941,78,7262.0,49.2296098,-123.1006998
714,347 E 41ST AVENUE,9/30/2019,1140000,31,1996,1929,90,3657.39,49.23322599999999,-123.0984238
715,7928 HUDSON STREET,4/27/2019,2000000,182,2399,1993,26,3983.1,49.2139068,-123.1338876
716,2835 ROSEMONT DRIVE,4/5/2019,1650000,134,2581,1964,55,5107.16,49.2181191,-123.0481802
717,8244 FRENCH STREET,7/12/2019,1620000,0,2394,1969,50,4026.0,49.21127,-123.1387498
718,4649 ROSS STREET,4/15/2020,1950000,6,3151,1978,42,6039.0,49.2429407,-123.0817161
719,2737 E 8TH AVENUE,4/15/2019,2047619,119,3620,2019,0,4026.0,49.263192,-123.0486906
720,5318 PRINCE EDWARD STREET,9/3/2019,2699000,3,3223,2018,1,3696.0,49.2369423,-123.0967856
721,4048 W 10TH AVENUE,6/1/2019,2650000,101,2452,2018,1,4026.0,49.2633684,-123.1953863
722,2545 E 43RD AVENUE,5/12/2019,1392000,84,2382,1979,40,4146.12,49.2311214,-123.0540357
723,1319 E 62ND AVENUE,2/17/2020,1228000,3,719,1953,67,3795.0,49.2139474,-123.0794987
724,2335 GRAVELEY STREET,9/16/2019,1275000,13,1699,1923,96,2880.0,49.2706001,-123.0571547
725,7410 MAIN STREET,8/15/2019,1060000,4,1814,1950,69,3465.0,49.2174871,-123.1015682
726,4031 VICTORIA DRIVE,1/15/2020,1455000,4,1827,1901,119,3579.0,49.2491581,-123.0653655
727,3483 TURNER STREET,4/2/2020,1238000,48,2250,1935,85,5115.0,49.279293,-123.0291639
728,3620 W 2ND AVENUE,1/27/2020,2400000,14,1800,1927,93,3960.0,49.2701729,-123.1840722
729,4544 PRINCE ALBERT STREET,10/27/2019,2695000,1,2749,2019,0,3840.0,49.24415399999999,-123.0875924
730,2831 W 12TH AVENUE,11/4/2019,1968000,20,1393,1967,52,4026.0,49.2616263,-123.1690493
731,3202 E 62ND AVENUE,7/3/2019,1650000,0,3262,1973,46,7000.0,49.2133178,-123.0368109
732,3623 W 38TH AVENUE,2/25/2020,2225000,6,3041,1988,32,4237.86,49.2377243,-123.1857002
733,2777 ROSEMONT DRIVE,7/8/2019,1325000,61,2459,1964,55,4869.0,49.21857379999999,-123.0488141
734,2451 MCGILL STREET,2/21/2020,1235000,9,2157,1959,61,4026.0,49.2889944,-123.0555401
735,6535 BROOKS STREET,1/2/2020,1890000,19,3095,1992,28,5174.0,49.2242279,-123.0355736
736,7750 HUDSON STREET,2/18/2020,1992000,5,2100,1990,30,3752.0,49.2150761,-123.1338514
737,2309 RUPERT STREET,8/16/2019,1170000,15,1857,1956,63,4026.0,49.2636949,-123.0341858
738,1391 E 61ST AVENUE,7/22/2019,1397500,96,2042,2010,9,3192.0,49.2148467,-123.0774373
739,836 W 22ND AVENUE,6/24/2019,2415000,80,1402,1926,93,5124.0,49.2514141,-123.1231273
740,68 E 39TH AVENUE,9/12/2019,2989000,40,2935,2018,1,4224.0,49.2353304,-123.1042581
741,946 W 14TH AVENUE,6/18/2019,2950000,62,3339,1912,107,6250.0,49.2584957,-123.1254734
742,1941 E 35TH AVENUE,2/14/2020,1352000,21,2155,1989,31,3844.0,49.23858629999999,-123.0665147
743,3463 E 4TH AVENUE,5/1/2019,1500000,65,3025,1993,26,5069.24,49.26684359999999,-123.0294331
744,255 N KOOTENAY STREET,12/27/2019,1850000,37,2657,2015,5,3696.0,49.28731089999999,-123.0260395
745,3515 GLADSTONE STREET,9/25/2019,1674000,4,2438,1960,59,3956.0,49.251666,-123.0597658
746,2187 FRANKLIN STREET,1/21/2020,1260000,13,1950,1980,40,3267.0,49.2822362,-123.0600804
747,3078 E 5TH AVENUE,9/16/2019,1480000,141,2417,1992,28,4026.0,49.26543530000001,-123.0396908
748,1955 W 42ND AVENUE,5/13/2020,2788000,5,2747,1994,26,4590.0,49.23375,-123.1506277
749,480 E 21ST AVENUE,7/4/2019,1850000,12,1831,1951,68,5063.0,49.2517954,-123.0948332
750,1180 E 19TH AVENUE,9/30/2019,1635000,8,2287,1926,93,3444.0,49.2534091,-123.0801745
751,1730 VICTORIA DRIVE,2/24/2020,1940000,17,2609,1909,111,3267.0,49.2690519,-123.0655193
752,1130 W 29TH AVENUE,6/3/2019,2420000,10,2840,1925,94,5387.25,49.2452164,-123.1308941
753,3123 W 16TH AVENUE,7/8/2019,1800000,34,1695,1953,66,4026.0,49.258078,-123.1748369
754,885 E 26TH AVENUE,8/19/2019,1330000,0,1963,1914,105,3696.0,49.2477244,-123.0861441
755,3425 ARCHIMEDES STREET,2/12/2020,1035000,8,2060,1947,73,3234.0,49.2351121,-123.0319544
756,4758 KILLARNEY STREET,9/9/2019,1320000,6,1990,1977,42,3297.0,49.2412684,-123.0409558
757,3968 W 13TH AVENUE,6/7/2019,2960000,0,2796,1926,93,6710.0,49.2606383,-123.1931113
758,4320 MILLER STREET,9/30/2019,785000,6,1201,1989,30,1764.0,49.2462658,-123.0688669
759,371 E 16TH AVENUE,1/10/2019,1500000,274,2157,1926,93,4052.97,49.2567277,-123.0968243
760,2326 E GEORGIA STREET,10/21/2019,1100000,101,1920,1927,93,3531.0,49.2780724,-123.0572798
761,3106 WINDSOR STREET,3/9/2020,1528000,9,2263,1954,66,3747.83,49.2567748,-123.083275
762,5535 TRAFALGAR STREET,2/18/2020,2180000,14,2782,1937,83,3878.0,49.2361831,-123.1661637
763,2210 E PENDER STREET,7/10/2019,1509000,2,1922,2005,14,3267.0,49.2800287,-123.0593717
764,6892 RADISSON STREET,9/3/2019,950000,41,1850,1980,39,3534.0,49.2209593,-123.0243361
765,3296 W 15TH AVENUE,3/3/2020,2250000,18,2528,1947,73,4026.0,49.2585932,-123.1778673
766,2827 E 27TH AVENUE,4/11/2019,1625000,112,2548,1955,64,6105.7,49.2464023,-123.0467809
767,1146 E 59TH AVENUE,10/9/2019,1260500,50,2386,1959,60,3854.4,49.2162119,-123.0825054
